DMS_id,Kermut,Kermut (const. mean),Kermut (no m),"Kermut (no m, const. mean)",Kermut (no distance),Kermut (no p),Kermut (no global),Kermut (no Hellinger),Kermut (no Hellinger/p),Kermut (ProteinMPNN),Kermut (TranceptEVE),Kermut (ESM-IF1),Kermut (EVE),Kermut (GEMME),Kermut (VESPA),ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
R1AB_SARS2_Flynn_2022,0.597,0.619,0.27,0.234,0.456,0.532,0.682,0.532,0.487,0.619,0.668,0.654,0.674,0.672,0.681,0.282,0.192,0.245,-0.011,-0.016,0.402,0.58,0.251,0.314,0.393
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.694,0.711,0.626,0.641,0.663,0.686,0.617,0.696,0.687,0.715,0.714,0.713,0.711,0.714,0.702,0.597,0.679,0.197,0.281,0.478,0.287,0.28,0.063,0.698,0.513
RAF1_HUMAN_Zinkus-Boltz_2019,0.443,0.336,0.444,0.299,0.452,0.435,0.492,0.441,0.438,0.337,0.379,0.337,0.408,0.424,0.47,0.239,0.476,0.388,0.427,0.479,0.4,0.448,0.066,0.381,0.268
RASH_HUMAN_Bandaru_2017,0.672,0.657,0.588,0.476,0.566,0.664,0.625,0.673,0.664,0.656,0.674,0.666,0.665,0.665,0.638,0.51,0.596,0.484,0.365,0.417,0.452,0.493,0.059,0.583,0.471
RASK_HUMAN_Weng_2022_abundance,0.644,0.638,0.596,0.585,0.568,0.64,0.5,0.643,0.639,0.639,0.636,0.639,0.627,0.64,0.637,0.528,0.568,0.152,0.07,0.164,0.278,0.206,-0.002,0.606,0.61
RASK_HUMAN_Weng_2022_binding-DARPin_K55,0.683,0.655,0.62,0.5,0.577,0.676,0.63,0.684,0.678,0.656,0.67,0.676,0.659,0.679,0.672,0.605,0.639,0.508,0.477,0.581,0.491,0.519,0.078,0.7,0.649
RBP1_HUMAN_Tsuboyama_2023_2KWH,0.871,0.863,0.871,0.865,0.871,0.87,0.667,0.87,0.869,0.862,0.867,0.868,0.866,0.863,0.85,0.8,0.672,0.349,0.475,0.206,0.384,0.353,0.09,0.734,0.618
RCD1_ARATH_Tsuboyama_2023_5OAO,0.843,0.833,0.836,0.825,0.833,0.836,0.566,0.843,0.837,0.837,0.831,0.842,0.83,0.832,0.833,0.786,0.729,0.284,0.183,0.259,0.253,0.3,-0.021,0.738,0.604
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.746,0.732,0.655,0.624,0.728,0.683,0.742,0.749,0.691,0.743,0.739,0.785,0.727,0.747,0.706,0.593,0.643,0.435,0.36,0.474,0.392,0.453,0.142,0.708,0.585
RD23A_HUMAN_Tsuboyama_2023_1IFY,0.85,0.844,0.816,0.781,0.853,0.836,0.745,0.841,0.819,0.846,0.845,0.851,0.84,0.84,0.847,0.793,0.823,0.483,0.569,0.57,0.557,0.549,0.058,0.84,0.704
REV_HV1H2_Fernandes_2016,0.331,0.325,0.319,0.307,0.316,0.317,0.323,0.338,0.348,0.33,0.333,0.344,0.318,0.336,0.374,0.319,0.341,0.238,0.251,0.259,0.252,0.25,0.075,0.182,0.274
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.711,0.701,0.698,0.683,0.697,0.702,0.414,0.696,0.702,0.703,0.699,0.735,0.699,0.697,0.703,0.587,0.636,0.312,0.239,0.272,0.233,0.255,-0.064,0.648,0.549
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.659,0.663,0.601,0.585,0.651,0.64,0.63,0.666,0.643,0.676,0.64,0.723,0.645,0.663,0.609,0.491,0.445,0.297,0.378,0.231,0.334,0.321,0.086,0.445,0.449
RL40A_YEAST_Mavor_2016,0.62,0.594,0.622,0.567,0.613,0.627,0.564,0.616,0.622,0.595,0.617,0.547,0.603,0.602,0.578,0.428,0.507,0.451,0.315,0.416,0.417,0.444,0.304,0.493,0.386
RL40A_YEAST_Roscoe_2013,0.696,0.662,0.687,0.602,0.681,0.699,0.638,0.682,0.679,0.662,0.68,0.639,0.67,0.678,0.673,0.488,0.643,0.506,0.336,0.441,0.465,0.497,0.415,0.48,0.516
RL40A_YEAST_Roscoe_2014,0.605,0.576,0.558,0.472,0.605,0.605,0.63,0.559,0.558,0.577,0.574,0.573,0.572,0.582,0.544,0.366,0.503,0.398,0.246,0.389,0.401,0.39,0.101,0.514,0.29
RNC_ECOLI_Weeks_2023,0.669,0.597,0.627,0.516,0.628,0.666,0.667,0.671,0.666,0.597,0.638,0.602,0.638,0.641,0.648,0.656,0.661,0.582,0.573,0.588,0.555,0.612,0.146,0.712,0.626
RPC1_BP434_Tsuboyama_2023_1R69,0.875,0.864,0.86,0.822,0.874,0.865,0.742,0.868,0.858,0.865,0.859,0.889,0.86,0.868,0.854,0.826,0.83,0.492,0.675,0.562,0.642,0.545,0.323,0.827,0.705
RPC1_LAMBD_Li_2019_high-expression,0.505,0.446,0.522,0.434,0.516,0.509,0.527,0.509,0.514,0.446,0.479,0.459,0.482,0.459,0.522,0.46,0.486,0.491,0.457,0.472,0.455,0.489,0.205,0.483,0.414
RPC1_LAMBD_Li_2019_low-expression,0.614,0.575,0.581,0.554,0.563,0.617,0.62,0.606,0.613,0.577,0.606,0.588,0.615,0.596,0.634,0.487,0.629,0.503,0.48,0.426,0.465,0.501,0.228,0.57,0.434
RS15_GEOSE_Tsuboyama_2023_1A32,0.788,0.787,0.727,0.701,0.78,0.764,0.581,0.775,0.748,0.794,0.778,0.791,0.777,0.778,0.784,0.748,0.695,0.3,0.334,0.371,0.356,0.294,-0.161,0.657,0.606
SAV1_MOUSE_Tsuboyama_2023_2YSB,0.747,0.742,0.692,0.65,0.753,0.699,0.661,0.737,0.691,0.742,0.761,0.758,0.757,0.742,0.75,0.609,0.673,0.458,0.584,0.637,0.531,0.528,0.306,0.688,0.539
SBI_STAAM_Tsuboyama_2023_2JVG,0.742,0.743,0.695,0.65,0.739,0.737,0.63,0.709,0.691,0.743,0.741,0.764,0.735,0.735,0.749,0.536,0.756,0.369,0.263,0.545,0.319,0.4,0.18,0.747,0.505
SCIN_STAAR_Tsuboyama_2023_2QFF,0.752,0.748,0.672,0.666,0.747,0.728,0.431,0.794,0.723,0.763,0.753,0.777,0.761,0.753,0.745,0.588,0.713,0.284,0.339,0.282,0.176,0.28,-0.021,0.73,0.48
SCN5A_HUMAN_Glazer_2019,0.193,0.063,0.19,0.078,0.181,0.186,0.195,0.194,0.185,0.016,0.162,-0.009,0.184,0.129,0.197,0.143,0.173,0.167,0.221,0.146,0.097,0.164,0.139,0.076,0.067
SDA_BACSU_Tsuboyama_2023_1PV0,0.84,0.843,0.816,0.78,0.842,0.81,0.692,0.831,0.803,0.851,0.835,0.848,0.842,0.846,0.834,0.643,0.734,0.537,0.405,0.581,0.498,0.55,-0.017,0.755,0.677
SERC_HUMAN_Xie_2023,0.619,0.561,0.576,0.445,0.586,0.603,0.586,0.621,0.603,0.563,0.583,0.572,0.597,0.598,0.611,0.53,0.546,0.551,0.537,0.551,0.55,0.558,0.04,0.561,0.555
SOX30_HUMAN_Tsuboyama_2023_7JJK,0.696,0.729,0.662,0.669,0.713,0.646,0.563,0.7,0.645,0.729,0.697,0.718,0.696,0.691,0.727,0.613,0.559,0.239,0.344,0.282,0.237,0.263,-0.085,0.644,0.407
SPA_STAAU_Tsuboyama_2023_1LP1,0.8,0.801,0.598,0.61,0.783,0.719,0.668,0.793,0.681,0.799,0.8,0.824,0.799,0.803,0.796,0.535,0.702,0.308,0.096,0.448,0.304,0.357,0.014,0.68,0.622
SPG1_STRSG_Olson_2014,0.554,0.569,0.472,0.47,0.568,0.572,0.622,0.446,0.428,0.571,0.552,0.577,0.573,0.571,0.534,0.528,0.261,0.067,0.221,0.288,0.256,0.259,0.309,0.28,0.45
SPG1_STRSG_Wu_2016,0.778,0.877,0.031,0.005,0.662,0.312,0.746,0.762,0.318,0.904,0.866,0.92,0.753,0.714,0.93,0.58,-0.518,-0.509,0.267,-0.654,-0.108,-0.258,-0.222,-0.235,0.2
SPG2_STRSG_Tsuboyama_2023_5UBS,0.79,0.819,0.741,0.77,0.781,0.76,0.5,0.784,0.756,0.815,0.813,0.807,0.82,0.823,0.797,0.671,0.623,0.181,0.191,0.08,0.071,0.23,0.039,0.618,0.49
SPIKE_SARS2_Starr_2020_binding,0.695,0.7,0.25,0.244,0.439,0.621,0.769,0.655,0.556,0.698,0.701,0.698,0.698,0.698,0.719,0.186,0.274,0.12,-0.083,0.38,0.306,0.308,-0.114,0.269,0.478
SPIKE_SARS2_Starr_2020_expression,0.779,0.783,0.332,0.325,0.552,0.754,0.772,0.751,0.672,0.783,0.784,0.782,0.78,0.784,0.775,0.127,0.555,0.279,-0.021,0.553,0.361,0.476,-0.019,0.446,0.312
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.771,0.767,0.699,0.653,0.779,0.73,0.731,0.762,0.716,0.776,0.75,0.782,0.745,0.752,0.772,0.691,0.656,0.464,0.537,0.452,0.484,0.488,-0.04,0.664,0.6
SQSTM_MOUSE_Tsuboyama_2023_2RRU,0.878,0.87,0.832,0.809,0.874,0.866,0.786,0.863,0.848,0.87,0.872,0.866,0.87,0.864,0.868,0.694,0.833,0.622,0.395,0.613,0.605,0.637,0.051,0.861,0.746
SR43C_ARATH_Tsuboyama_2023_2N88,0.859,0.848,0.819,0.795,0.861,0.83,0.79,0.849,0.817,0.85,0.85,0.857,0.848,0.834,0.849,0.667,0.716,0.591,0.522,0.581,0.577,0.606,0.062,0.751,0.644
SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.789,0.801,0.685,0.673,0.804,0.754,0.797,0.763,0.695,0.8,0.8,0.8,0.803,0.789,0.801,0.594,0.747,0.552,0.485,0.635,0.574,0.597,-0.092,0.762,0.635
SRC_HUMAN_Ahler_2019,0.654,0.565,0.562,0.455,0.456,0.626,0.676,0.653,0.625,0.564,0.586,0.572,0.618,0.621,0.624,0.573,0.434,0.479,0.572,0.387,0.502,0.526,0.22,0.357,0.475
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,0.536,0.481,0.503,0.415,0.456,0.543,0.507,0.537,0.544,0.482,0.507,0.49,0.518,0.521,0.542,0.479,0.496,0.424,0.476,0.469,0.401,0.433,-0.074,0.491,0.446
SRC_HUMAN_Nguyen_2022,0.581,0.525,0.522,0.452,0.488,0.569,0.571,0.583,0.572,0.525,0.542,0.534,0.559,0.565,0.572,0.513,0.507,0.429,0.481,0.473,0.4,0.429,0.024,0.484,0.427
SUMO1_HUMAN_Weile_2017,0.604,0.478,0.595,0.466,0.581,0.59,0.536,0.605,0.594,0.479,0.563,0.514,0.578,0.534,0.553,0.51,0.554,0.459,0.501,0.527,0.398,0.475,0.287,0.497,0.421
SYUA_HUMAN_Newberry_2020,0.503,0.528,0.518,0.51,0.523,0.505,0.223,0.503,0.505,0.526,0.539,0.526,0.528,0.537,0.538,0.531,0.494,0.165,0.28,0.177,0.19,0.19,-0.016,0.58,0.517
TADBP_HUMAN_Bolognesi_2019,0.654,0.671,0.661,0.667,0.658,0.66,0.185,0.654,0.657,0.671,0.671,0.671,0.665,0.661,0.663,0.71,0.65,0.069,0.033,0.013,0.089,0.067,-0.066,0.753,0.615
TAT_HV1BR_Fernandes_2016,0.512,0.512,0.413,0.395,0.48,0.484,0.55,0.515,0.489,0.513,0.534,0.522,0.546,0.54,0.495,0.474,0.517,0.289,0.389,0.364,0.244,0.283,0.279,0.54,0.374
TCRG1_MOUSE_Tsuboyama_2023_1E0L,0.849,0.836,0.839,0.836,0.852,0.836,0.714,0.851,0.837,0.848,0.828,0.833,0.822,0.843,0.839,0.82,0.621,0.341,0.708,0.539,0.529,0.486,-0.068,0.665,0.658
THO1_YEAST_Tsuboyama_2023_2WQG,0.764,0.754,0.743,0.724,0.765,0.758,0.575,0.76,0.74,0.773,0.726,0.763,0.706,0.759,0.753,0.523,0.588,0.26,0.368,0.392,0.231,0.251,0.025,0.646,0.428
TNKS2_HUMAN_Tsuboyama_2023_5JRT,0.846,0.849,0.784,0.764,0.844,0.817,0.757,0.842,0.804,0.849,0.836,0.857,0.838,0.846,0.826,0.774,0.718,0.566,0.606,0.472,0.562,0.586,0.173,0.722,0.659
TPK1_HUMAN_Weile_2017,0.321,0.23,0.345,0.223,0.313,0.345,0.323,0.324,0.343,0.23,0.283,0.268,0.22,0.291,0.286,0.313,0.356,0.223,0.266,0.274,0.297,0.27,-0.047,0.298,0.198
TPMT_HUMAN_Matreyek_2018,0.627,0.597,0.572,0.496,0.612,0.608,0.62,0.627,0.603,0.597,0.61,0.623,0.619,0.617,0.615,0.581,0.588,0.527,0.541,0.485,0.478,0.524,0.107,0.572,0.468
TPOR_HUMAN_Bridgford_2020,0.476,0.463,0.467,0.446,0.362,0.469,0.305,0.48,0.469,0.464,0.47,0.463,0.459,0.494,0.489,0.552,0.531,0.241,0.349,0.455,0.415,0.4,-0.149,0.532,0.499
TRPC_SACS2_Chan_2017,0.69,0.616,0.663,0.579,0.66,0.68,0.684,0.688,0.682,0.614,0.643,0.652,0.648,0.635,0.666,0.632,0.686,0.567,0.6,0.651,0.582,0.595,-0.082,0.683,0.609
TRPC_THEMA_Chan_2017,0.525,0.44,0.495,0.377,0.425,0.523,0.487,0.537,0.525,0.437,0.486,0.499,0.501,0.505,0.541,0.466,0.469,0.397,0.453,0.465,0.428,0.432,0.139,0.471,0.437
UBC9_HUMAN_Weile_2017,0.492,0.389,0.449,0.388,0.407,0.509,0.485,0.482,0.5,0.388,0.512,0.433,0.538,0.489,0.5,0.444,0.545,0.521,0.457,0.505,0.464,0.532,0.051,0.547,0.389
UBE4B_HUMAN_Tsuboyama_2023_3L1X,0.82,0.817,0.751,0.692,0.82,0.78,0.75,0.827,0.783,0.818,0.797,0.833,0.784,0.801,0.822,0.667,0.709,0.483,0.57,0.518,0.427,0.487,0.102,0.726,0.448
UBE4B_MOUSE_Starita_2013,0.514,0.468,0.481,0.207,0.465,0.507,0.51,0.511,0.492,0.468,0.493,0.468,0.522,0.508,0.509,0.463,0.351,0.496,0.468,0.357,0.389,0.485,0.209,0.311,0.427
UBR5_HUMAN_Tsuboyama_2023_1I2T,0.729,0.738,0.67,0.699,0.733,0.701,0.587,0.705,0.658,0.743,0.748,0.729,0.754,0.74,0.721,0.648,0.723,0.395,0.315,0.358,0.447,0.466,0.265,0.742,0.665
VG08_BPP22_Tsuboyama_2023_2GP8,0.84,0.825,0.825,0.785,0.841,0.838,0.725,0.84,0.835,0.83,0.828,0.836,0.825,0.826,0.827,0.788,0.68,0.265,0.562,0.459,0.468,0.418,0.17,0.725,0.665
VILI_CHICK_Tsuboyama_2023_1YU5,0.809,0.766,0.75,0.653,0.807,0.783,0.768,0.803,0.772,0.768,0.782,0.817,0.795,0.787,0.789,0.671,0.658,0.595,0.517,0.565,0.411,0.567,-0.026,0.634,0.458
VKOR1_HUMAN_Chiasson_2020_abundance,0.671,0.661,0.561,0.525,0.641,0.615,0.616,0.674,0.614,0.662,0.686,0.664,0.668,0.664,0.654,0.57,0.617,0.416,0.441,0.503,0.544,0.533,0.011,0.61,0.549
VKOR1_HUMAN_Chiasson_2020_activity,0.425,0.37,0.438,0.36,0.435,0.437,0.418,0.426,0.438,0.368,0.426,0.403,0.388,0.419,0.439,0.332,0.446,0.413,0.44,0.43,0.413,0.446,0.164,0.37,0.314
VRPI_BPT7_Tsuboyama_2023_2WNM,0.837,0.828,0.82,0.803,0.838,0.829,0.732,0.834,0.824,0.827,0.828,0.839,0.829,0.826,0.833,0.705,0.614,0.165,0.335,0.229,-0.068,-0.006,0.155,0.633,0.506
YAIA_ECOLI_Tsuboyama_2023_2KVT,0.788,0.782,0.698,0.667,0.7,0.751,0.704,0.788,0.751,0.781,0.786,0.807,0.79,0.798,0.789,0.576,0.635,0.224,0.25,0.287,0.279,0.324,0.11,0.644,0.385
YAP1_HUMAN_Araya_2012,0.647,0.444,0.66,0.42,0.636,0.647,0.641,0.648,0.647,0.444,0.533,0.447,0.632,0.557,0.569,0.494,0.505,0.65,0.374,0.018,0.471,0.613,-0.232,0.373,0.358
YNZC_BACSU_Tsuboyama_2023_2JVD,0.791,0.797,0.781,0.802,0.748,0.787,0.652,0.792,0.788,0.811,0.769,0.817,0.784,0.769,0.777,0.69,0.58,0.211,0.492,0.29,0.259,0.248,0.21,0.681,0.404
